Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
sparse,8,8,run_dblp_final_safe.sh:,74:,4200,100,2,259,ERROR_127
sparse,8,16,run_dblp_final_safe.sh:,74:,4016,80,3,261,ERROR_127
sparse,8,32,run_dblp_final_safe.sh:,74:,4108,100,3,260,ERROR_127
sparse,8,48,run_dblp_final_safe.sh:,74:,4084,100,3,259,ERROR_127
sparse,8,64,run_dblp_final_safe.sh:,74:,4152,80,3,262,ERROR_127
sparse,8,96,run_dblp_final_safe.sh:,74:,4092,80,3,262,ERROR_127
sparse,16,8,run_dblp_final_safe.sh:,74:,4020,80,3,262,ERROR_127
sparse,16,16,run_dblp_final_safe.sh:,74:,4016,80,3,261,ERROR_127
sparse,16,32,run_dblp_final_safe.sh:,74:,4216,80,3,262,ERROR_127
sparse,16,48,run_dblp_final_safe.sh:,74:,4148,100,3,263,ERROR_127
sparse,16,64,run_dblp_final_safe.sh:,74:,4132,80,3,265,ERROR_127
sparse,16,96,run_dblp_final_safe.sh:,74:,4132,80,3,262,ERROR_127
sparse,32,8,run_dblp_final_safe.sh:,74:,4072,80,3,259,ERROR_127
sparse,32,16,run_dblp_final_safe.sh:,74:,4204,80,3,260,ERROR_127
sparse,32,32,run_dblp_final_safe.sh:,74:,4156,80,3,258,ERROR_127
sparse,32,48,run_dblp_final_safe.sh:,74:,4092,80,3,264,ERROR_127
sparse,32,64,run_dblp_final_safe.sh:,74:,4136,80,3,262,ERROR_127
sparse,32,96,run_dblp_final_safe.sh:,74:,4204,80,3,263,ERROR_127
dense,8,8,run_dblp_final_safe.sh:,74:,4020,80,3,260,ERROR_127
dense,8,16,run_dblp_final_safe.sh:,74:,4132,80,3,264,ERROR_127
dense,8,32,run_dblp_final_safe.sh:,74:,4132,80,3,261,ERROR_127
dense,8,48,run_dblp_final_safe.sh:,74:,4088,80,3,261,ERROR_127
dense,8,64,run_dblp_final_safe.sh:,74:,4116,80,3,260,ERROR_127
dense,8,96,run_dblp_final_safe.sh:,74:,4136,80,3,265,ERROR_127
dense,16,8,run_dblp_final_safe.sh:,74:,4244,80,3,261,ERROR_127
dense,16,16,run_dblp_final_safe.sh:,74:,4240,100,3,265,ERROR_127
dense,16,32,run_dblp_final_safe.sh:,74:,4088,80,3,257,ERROR_127
dense,16,48,run_dblp_final_safe.sh:,74:,4016,80,3,259,ERROR_127
dense,16,64,run_dblp_final_safe.sh:,74:,4144,80,3,262,ERROR_127
dense,16,96,run_dblp_final_safe.sh:,74:,4136,80,3,263,ERROR_127
dense,32,8,run_dblp_final_safe.sh:,74:,4088,80,3,260,ERROR_127
dense,32,16,run_dblp_final_safe.sh:,74:,4088,80,3,260,ERROR_127
dense,32,32,run_dblp_final_safe.sh:,74:,4132,80,3,260,ERROR_127
dense,32,48,run_dblp_final_safe.sh:,74:,4116,100,3,262,ERROR_127
dense,32,64,run_dblp_final_safe.sh:,74:,4092,80,3,263,ERROR_127
dense,32,96,run_dblp_final_safe.sh:,74:,4136,80,3,265,ERROR_127
