Type,Size,QueryNum,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,Status
sample,4,1,1,10072,13.6671,22752220,99,TIMEOUT
sample,4,2,1,10072,16.5801,22752248,99,TIMEOUT
sample,4,3,1,3078,10.309,17995952,99,TIMEOUT
sample,8,1,1,0,5.28209,8972724,99,TIMEOUT
sample,8,2,1,96,5.70378,8972712,99,TIMEOUT
sample,8,3,1,128,4.54962,7457944,99,TIMEOUT
sample,15,1,1,0,3.4342,4773788,99,TIMEOUT
sample,15,2,1,0,5.62772,8972724,99,TIMEOUT
sample,15,3,1,0,4.88696,7457956,99,TIMEOUT
sample,25,1,1,0,5.87829,8972724,99,TIMEOUT
sample,25,2,1,0,3.89121,5524336,100,TIMEOUT
sample,25,3,1,0,5.14336,8972756,99,TIMEOUT
