Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
dense,8,1,948425,24.7989,2168700,99,29,13308225,TIMEOUT
dense,8,8,4719205,24.8208,84517252,552,4294607,23148610,TIMEOUT
dense,8,16,53085,24.856,61670464,773,3690897,15431508,TIMEOUT
dense,8,32,19389,24.7947,60664608,1258,4839692,15176060,TIMEOUT
dense,8,48,7073,24.8182,55513028,1650,5767895,13894253,TIMEOUT
dense,8,64,6338,24.7994,47240528,1850,6712437,11831749,TIMEOUT
dense,16,1,0,24.7585,687296,99,5,3930972,TIMEOUT
dense,16,8,0,24.8035,4495104,775,344210,5398712,TIMEOUT
dense,16,16,0,24.8249,8670752,1524,1006503,7374352,TIMEOUT
dense,16,32,0,24.8535,23240944,2761,2431628,9376092,TIMEOUT
dense,16,48,0,24.8527,25354308,3542,3287797,11507939,TIMEOUT
dense,16,64,0,24.8524,27220588,4429,4260409,10475693,TIMEOUT
dense,24,1,1966,24.8542,14251756,99,5,3920147,TIMEOUT
dense,24,8,9634,24.8122,173318576,443,6150601,43335069,TIMEOUT
dense,24,16,7013,24.8292,60448304,758,3808852,15124429,TIMEOUT
dense,24,32,711,24.7967,58140600,1237,4892158,14549485,TIMEOUT
dense,24,48,557,24.8003,54022336,1646,5623721,13519788,TIMEOUT
dense,24,64,2034,24.7991,46764484,1857,6620466,11698213,TIMEOUT
dense,32,1,0,24.7956,497828,99,5,1255282,TIMEOUT
dense,32,8,0,24.7878,2195940,783,183888,4275806,TIMEOUT
dense,32,16,0,24.8277,5706348,1552,672724,5917972,TIMEOUT
dense,32,32,0,24.8513,10729328,3006,1727552,10206506,TIMEOUT
dense,32,48,0,24.8312,38092496,3966,3387679,12156855,TIMEOUT
dense,32,64,0,24.8506,18694584,5364,2963056,9023865,TIMEOUT
