Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
sparse,8,1,3431007,59.7978,1707960,99,8,0,TIMEOUT
sparse,8,8,22806683,59.826,65809668,712,5169595,2,TIMEOUT
sparse,8,16,16226811,59.7928,1872,0,3,0,TIMEOUT
sparse,16,1,0,59.7984,169791468,99,5,0,TIMEOUT
sparse,16,8,25184,59.8251,1924,0,3,0,TIMEOUT
sparse,16,16,5165,59.8153,2132,0,3,0,TIMEOUT
dense,8,1,2557071,59.8247,2117636,99,5,0,TIMEOUT
dense,8,8,19669821,59.8436,77425952,715,4462420,0,TIMEOUT
dense,8,16,11977152,59.8254,1936,0,3,0,TIMEOUT
dense,16,1,0,59.825,844848,99,5,0,TIMEOUT
dense,16,8,0,59.828,6784564,781,1060796,0,TIMEOUT
dense,16,16,0,59.8372,9920644,1549,2235451,0,TIMEOUT
sparse,16,1,0,119.797,2076,0,3,0,TIMEOUT
dense,16,1,0,119.846,1094000,99,4,0,TIMEOUT
dense,16,8,0,119.84,5946144,787,1808728,0,TIMEOUT
dense,16,16,0,119.826,13420308,1557,4477473,1,TIMEOUT
sparse,8,32,106083,59.8392,1924,0,3,0,TIMEOUT
dense,8,32,0,0,1932,0,3,0,TIMEOUT
sparse,8,48,82687,59.8229,2064,0,3,0,TIMEOUT
dense,8,48,35586,59.8303,2068,0,3,0,TIMEOUT
sparse,8,64,61245,59.8386,2064,0,3,0,TIMEOUT
dense,8,64,31579,59.7924,1936,0,3,0,TIMEOUT
sparse,16,32,4991,59.7946,1992,0,3,0,TIMEOUT
dense,16,32,0,59.8236,23742828,2970,4523419,1,TIMEOUT
sparse,16,48,3425,59.8304,1932,0,3,0,TIMEOUT
dense,16,48,0,59.8294,33229652,4195,6010604,3,TIMEOUT
sparse,16,64,4810,59.8509,1992,0,3,0,TIMEOUT
dense,16,64,0,59.7702,35839052,5148,5752788,6,TIMEOUT
sparse,32,1,2857,59.8486,158897048,99,5,0,TIMEOUT
dense,32,1,0,59.7924,843676,99,5,0,TIMEOUT
sparse,32,8,0,0,1932,0,3,0,TIMEOUT
dense,32,8,0,59.8114,2580872,790,394482,0,TIMEOUT
sparse,32,16,1189,59.8264,2048,0,3,0,TIMEOUT
dense,32,16,0,59.7769,6056680,1565,1431952,0,TIMEOUT
sparse,32,32,320,59.7964,1924,0,3,0,TIMEOUT
dense,32,32,0,59.7954,11303060,3078,2970156,1,TIMEOUT
sparse,32,48,0,0,2052,0,3,0,TIMEOUT
dense,32,48,0,59.7862,10864368,4590,3082944,8,TIMEOUT
sparse,32,64,269,59.8497,1996,0,3,0,TIMEOUT
dense,32,64,0,59.7916,36065688,5618,4601669,0,TIMEOUT
