Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
sparse,8,1,timeout:,monitored,1579652,99,9,13034991,TIMEOUT
sparse,8,8,308262,24.8073,158965616,450,5674475,40332739,TIMEOUT
sparse,8,16,39369,24.8018,62596952,772,3768887,15661472,TIMEOUT
sparse,8,32,18758,24.8032,60446528,1245,4810958,15126907,TIMEOUT
sparse,8,48,12371,24.8027,54169024,1620,5850853,13557727,TIMEOUT
sparse,8,64,9476,24.8014,47386800,1842,6670456,11866868,TIMEOUT
sparse,16,1,0,24.8009,58129452,99,5,14532047,TIMEOUT
sparse,16,8,6997,24.8299,181819560,442,6480744,45460541,TIMEOUT
sparse,16,16,2038,24.8319,68190836,741,4405938,17068435,TIMEOUT
sparse,16,32,6782,24.7997,59048952,1238,4821937,14777693,TIMEOUT
sparse,16,48,219,24.8008,54460160,1633,5721454,13631417,TIMEOUT
sparse,16,64,140,24.8044,47019376,1833,6678187,11771956,TIMEOUT
sparse,24,1,0,24.8011,65894348,99,5,16482298,TIMEOUT
