Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,VoluntaryCS,InvoluntaryCS,PageFaults,Status
sparse,8,1,0,32.01,78880924,99,4,265,0,TIMEOUT
sparse,8,8,168,37.12,470542284,347,289969,628,0,TIMEOUT
sparse,8,16,0,0,500000000,0,0,0,0,OOM
sparse,8,32,0,0,500000000,0,0,0,0,OOM
sparse,8,64,26,41.73,522451072,1690,2518562,18347,58,TIMEOUT
dense,8,1,0,37.12,91919608,99,942,292,11,TIMEOUT
sparse,16,1,0,37.76,93442616,99,5,260,0,TIMEOUT
sparse,16,8,0,0,503000000,0,0,0,0,OOM
sparse,32,1,0,37.64,93149580,99,5,236,0,TIMEOUT
dense,16,1,0,37.72,93409548,99,5,263,0,TIMEOUT
dense,32,1,0,37.77,93367084,99,5,249,0,TIMEOUT
sparse,32,8,0,0,455000000,0,0,0,0,OOM
dense,16,8,0,0,503000000,0,0,0,0,OOM
dense,32,8,0,0,503000000,0,0,0,0,OOM
