Dataset,Type,Size,Threads,Solutions,Time_s,Memory_KB,CPU_Percent,UserTime_s,SysTime_s,VoluntaryCS,InvoluntaryCS,PageFaults,Status
livejournal,sparse,8,1,0,80,68474804,99,60.22,21.51,4,144,17164746,SUCCESS
livejournal,sparse,8,8,56,80,348082288,296,110.84,155.93,220804,464,87219411,SUCCESS
livejournal,sparse,8,16,87,80,474911140,500,143.45,325.47,633647,732,118998076,SUCCESS
livejournal,sparse,8,32,96,80,515778900,895,181.19,672.24,1303131,6735,129262413,SUCCESS
livejournal,sparse,8,64,62,80,516421640,1593,216.38,1314.26,2508266,11551,129306782,SUCCESS
livejournal,sparse,16,1,0,80,61988444,99,60.55,20.91,4072,158,15549742,SUCCESS
livejournal,sparse,16,8,22,80,355629828,302,112.52,160.66,224582,453,89085263,SUCCESS
livejournal,sparse,16,16,30,80,441327372,479,141.93,305.36,595718,778,111171095,SUCCESS
livejournal,sparse,16,32,20,80,,,,,,,,SUCCESS
livejournal,sparse,16,64,5,80,,,,,,,,SUCCESS
livejournal,sparse,32,1,0,80,69694000,99,59.34,22.36,2127,187,17469550,SUCCESS
livejournal,sparse,32,8,2,80,,,,,,,,SUCCESS // again
livejournal,sparse,32,16,11,80,493712148,525,151.64,346.22,657048,775,123659887,SUCCESS
livejournal,sparse,32,32,0,80,,,,,,,,SUCCESS
livejournal,sparse,32,64,0,80,,,,,,,,SUCCESS
livejournal,dense,8,1,0,80,55586976,99,60.62,20.85,912,324,14870194,SUCCESS
livejournal,dense,8,8,176,80,367489908,310,116.17,164.63,231525,524,92560004,SUCCESS
livejournal,dense,8,16,561,80,401194032,450,139.97,274.03,536886,686,102031214,SUCCESS
livejournal,dense,8,32,329,80,521022172,919,184.31,700.44,1282618,4495,131050579,SUCCESS
livejournal,dense,8,64,765,80,,,,,,,,SUCCESS
livejournal,dense,16,1,0,80,69261320,99,59.38,22.30,1054,269,17361363,SUCCESS
livejournal,dense,16,8,18,80,367690968,312,114.84,168.11,234220,552,92136866,SUCCESS
livejournal,dense,16,16,0,80,492386184,510,146.84,333.34,655489,771,123240349,SUCCESS
livejournal,dense,16,32,0,80,521476824,926,165.96,719.27,1344564,7744,130604914,SUCCESS
livejournal,dense,16,64,0,80,,,,,,,,SUCCESS
livejournal,dense,32,1,0,80,69492840,99,59.42,22.25,1033,211,17419260,SUCCESS
livejournal,dense,32,8,0,80,349749796,302,114.17,157.78,225140,532,88332257,SUCCESS
livejournal,dense,32,16,0,80,485584052,520,151.71,338.32,642745,743,122678820,SUCCESS
livejournal,dense,32,32,0,80,521842288,936,178.18,716.57,1346413,8181,131978892,SUCCESS
livejournal,dense,32,64,0,80,,,,,,,,SUCCESS
