Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,VoluntaryCS,InvoluntaryCS,PageFaults,Status
sparse,8,1,0,87.6,1724648,99,232,0,0,TIMEOUT
sparse,8,8,0,87.6,1316484,776,49164,1137,16,TIMEOUT
dense,8,1,0,87.6,197651908,99,4,249,0,TIMEOUT
dense,8,8,68580,87.6,337044576,668,744193,1103,0,TIMEOUT
dense,8,16,109131,87.59,272079524,1186,2004642,1720,0,TIMEOUT
dense,8,32,89010,87.27,104729560,1909,2555884,2857,0,TIMEOUT
sparse,8,16,0,87.34,1301176,1549,45018,2136,17,TIMEOUT
sparse,8,32,0,87.61,1278400,3110,37322,2643,13,TIMEOUT
sparse,8,48,0,87.54,1255488,4663,31975,4159,53,TIMEOUT
sparse,8,64,0,87.60,1225072,6220,35325,6800,73,TIMEOUT
dense,8,48,67997,87.58,51045544,2823,2832785,4476,0,TIMEOUT
dense,8,64,85565,87.57,33150984,3686,3376980,5581,1,TIMEOUT
sparse,16,1,0,87.60,197324348,99,4,267,0,TIMEOUT
sparse,16,8,0,87.62,1240180,775,45837,1080,3,TIMEOUT
sparse,16,16,0,88.04,1232468,1560,43886,2031,9,TIMEOUT
sparse,16,32,0,87.71,1217288,3112,39835,3873,35,TIMEOUT
sparse,16,64,0,87.61,1179216,6221,36462,6892,142,TIMEOUT
dense,16,1,0,88.04,197496804,99,4,233,0,TIMEOUT
dense,16,8,18784,87.59,314114044,669,757681,959,0,TIMEOUT
dense,16,16,29842,87.62,237909388,1191,2116612,1723,0,TIMEOUT
dense,16,32,15532,87.65,64902848,1886,2271966,3010,0,TIMEOUT
dense,16,64,20750,87.44,22080332,3646,3396848,5171,0,TIMEOUT
sparse,32,1,0,87.47,199089132,99,4,306,0,TIMEOUT
sparse,32,8,0,88.04,1377852,780,88188,1107,5,TIMEOUT
sparse,32,16,0,87.61,1370056,1556,64441,1476,2,TIMEOUT
sparse,32,32,0,87.55,1331756,3109,70076,3958,23,TIMEOUT
sparse,32,64,0,87.59,1263092,6221,36626,5621,29,TIMEOUT
dense,32,1,0,88.05,202090620,99,4,301,0,TIMEOUT
dense,32,8,0,87.57,236026224,683,680102,1087,0,TIMEOUT
dense,32,16,0,87.60,47761212,1454,437765,1962,9,TIMEOUT
dense,32,32,0,88.03,13215912,2801,659856,3236,0,TIMEOUT
dense,32,64,0,88.04,4522528,6066,130214,7781,2,TIMEOUT
